Comment,Designator,Footprint,LCSC Part #
1k,R1 R6 R8 R13 R18 R27 R28 R29 R30 R32 R42 R53 R54,R0402,C11702
1n,C1 C7 C14 C15 C28 C30 C36,C0402,C1523
1u,C10 C37 C41 C42 C47,C0402,C52923
2k4,R34 R35,R0402,C25882
2k4(NC),R40,R0402,
2n2,C8,C0402,C1531
4k7,R2 R7 R16 R25 R44 R49 R51 R56 R60 R62 R69 R78 R109,R0402,C25900
4u7,C19,C0805,C1779
4u7,C67,C0603,C19666
6k8,R79,R0402,C25917
10k,R4 R5 R11,R0402,C25744
10k,R12 R14,R0805,C17414
10k,R19 R20 R31 R33 R43 R47 R104,R0402,C25744
10k(NC),R21,R0402,
10u,C17,C0805,C15850
10u,L2,R1210,C107341
18p,C2 C3 C20 C23 C29,C0402,C1549
22u,C4 C6 C21 C32 C33 C35,C0805,C602037
31k6/1%,R105,R0603,C25967
33n,C45 C82,C0402,C1585
39k,R37,R0402,C25783
61R9,R103,R0603,C203709
100k,R3 R9 R17 R22 R26 R36 R38 R50 R52 R55 R59 R61 R63 R80 R107 R108,R0402,C25741
100n,C9 C12 C13 C16 C18 C22 C24 C25 C26 C27 C31 C34 C49 C51 C52 C65 C66 C68 C107,C0402,C1525
120R,R10 R15 R24 R39,R0805,C17437
220n,C5 C11 C39 C40,C0402,C16772
300/1%,R102,R0603,C23025
470k,R110,R0402,C25790
AO3400A,Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10,SOT23,C20917
ATMEGA328P-AU,IC14,TQFP32-08,C14877
ATMEGA2560-16AU,IC1,TQFP100,C22460
B72530V1140S262,R23,CT/CN1210,
CJ125_32,IC3,TQFP32-08,
CP2102-GMR,IC9,MLP28,C6568
Cmi201209u2r2kt,L1,FB603,C1043
ESD0504F,IC6 IC12,SOT363_PHILIPS,C502602
LM2940G-50-AA3-R,IC15,SOT223,C71094
MCP4725,IC5,SOT23-6,C144198
NUF2221W1,IC2,SOT363_PHILIPS,C74936
SM4007PL,D3 D5 D7 D8,SOD-123_MINI-SMA,C64898
SMBJ22A,D4,SMBJ,C284010
SS54,D2,DO-214AC,C2827918
TC4424AVOA713,IC10 IC11,SO-08,C44150
X322516MLB4SI,U$4 U$8,X322516MLB4SI,C13738
LED blue,LED1 LED5,SML0603,C72041
LED green,LED3,SML0603,C72043
LED red,LED2,SML0603,C2286
LM4041DFTA,D1,SOT-23-3L,C151008
39K,R73,R0402,C25783
