Designator,Mid X,Mid Y,Layer,Rotation
C1,44.13, 4.92,Top,90.0
C2,16.03,17.46,Top,180.0
C3,16.83,11.91,Top,90.0
C4,18.26, 4.60,Top,0.0
C5,44.13, 8.89,Top,270.0
C6,13.81,53.98,Top,90.0
C7,30.64,26.83,Top,90.0
C8, 5.24,29.53,Top,0.0
C9,3.18,15.24,Top,0.0
C10,18.73, 8.89,Top,90.0
C11,32.54,26.83,Top,270.0
C12,24.45,31.27,Top,180.0
C13,38.42,23.65,Top,0.0
C14,26.04,33.18,Top,0.0
C15,15.40,26.51,Top,0.0
C16,13.65,21.43,Top,270.0
C17,37.47,41.43,Top,270.0
C18,3.18,13.34,Top,180.0
C19,25.08,29.85,Top,180.0
C20,29.69, 2.38,Top,270.0
C21,35.24,56.20,Top,180.0
C22,30.16, 4.45,Top,0.0
C23,34.77, 2.38,Top,90.0
C24,26.67,24.13,Top,270.0
C25, 7.78,30.80,Top,180.0
C26,14.92,11.91,Top,90.0
C27,25.08,14.29,Top,90.0
C28,24.29,19.05,Top,0.0
C29, 1.75,22.54,Top,0.0
C30,24.29,24.45,Top,180.0
C31,26.19, 6.51,Top,180.0
C32,11.75,53.98,Top,90.0
C33,35.24,54.13,Top,180.0
C34,44.13,13.18,Top,270.0
C35,35.24,52.07,Top,180.0
C36,16.35,22.70,Top,180.0
C37,15.88,11.91,Top,90.0
C39,24.13,16.67,Top,90.0
C40,16.35,24.61,Top,0.0
C41,24.29,20.32,Top,0.0
C42,16.35,20.80,Top,0.0
C45,3.18,12.38,Top,0.0
C47,33.02,35.56,Top,90.0
C49,27.62,24.13,Top,270.0
C51,26.83,22.07,Top,0.0
C52,35.24,24.13,Top,270.0
C65, 2.06,16.51,Top,180.0
C66,11.27,29.53,Top,180.0
C67,28.10,35.72,Top,270.0
C68,29.37,35.72,Top,270.0
C82,3.18,14.29,Top,0.0
C107, 1.75,23.50,Top,180.0
D1,1.91,8.26,Top,90.0
D2,16.35,54.13,Top,270.0
D3,19.69,36.04,Top,0.0
D4,20.00,54.29,Top,270.0
D5,19.69,33.50,Top,0.0
D6,23.18,54.48,Top,270.0
D7, 3.02,48.26,Top,0.0
D8,42.07,48.26,Top,180.0
IC1,34.61,13.97,Top,270.0
IC2,31.12,35.88,Top,270.0
IC3, 7.94,23.81,Top,0.0
IC5,16.03, 9.05,Top,90.0
IC6,32.38,24.13,Top,90.0
IC9,31.19,31.12,Top,180.0
IC10,41.91,29.53,Top,0.0
IC11,36.83,29.53,Top,0.0
IC12,29.85,24.13,Top,270.0
IC14, 9.21,12.86,Top,90.0
IC15,28.89,54.13,Top,180.0
L1,34.61,35.56,Top,90.0
L2,26.67, 3.49,Top,90.0
LED1,21.75, 6.83,Top,180.0
LED2,21.75, 7.94,Top,180.0
LED3,21.75, 9.05,Top,180.0
LED4,21.75, 5.71,Top,180.0
Q1, 8.89,35.24,Top,270.0
Q2, 2.54,34.29,Top,270.0
Q3, 3.18,40.64,Top,270.0
Q4, 5.71,35.24,Top,270.0
Q5,18.41,30.00,Top,270.0
Q6,21.59,30.00,Top,270.0
Q7,15.24,33.66,Top,270.0
