Part     Value           Package          Library                 Position (mil)        Orientation

C1       1n              C0402            rcl                     (1737.5 243.75)       R270
C2       18p             C0402            rcl                     (593.75 593.75)       R180
C3       18p             C0402            rcl                     (675 481.25)          R270
C4       22u             C0805            rcl                     (787.5 268.75)        R180
C5       220n            C0402            rcl                     (1737.5 56.25)        R90
C6       22u             C0805            rcl                     (450 87.5)            R90
C7       1n              C0402            rcl                     (1225 918.75)         R90
C8       2n2             C0402            rcl                     (206.25 1025)         R0
C9       100n            C0402            rcl                     (212.5 493.75)        R0
C10      1u              C0402            rcl                     (650 356.25)          R270
C11      220n            C0402            rcl                     (1312.5 918.75)       R270
C12      1u              C0402            rcl                     (1081.25 1037.5)      R90
C13      100n            C0402            rcl                     (1512.5 793.75)       R0
C14      1n              C0402            rcl                     (1012.5 1168.75)      R0
C15      1n              C0402            rcl                     (606.25 900)          R0
C16      100n            C0402            rcl                     (537.5 706.25)        R270
C17      4u7             C0603            rcl                     (1618.75 1262.5)      R270
C18      100n            C0402            rcl                     (212.5 431.25)        R180
C20      18p             C0402            rcl                     (1025 81.25)          R90
C22      100n            C0402            rcl                     (1231.25 37.5)        R180
C23      18p             C0402            rcl                     (900 275)             R270
C25      100n            C0402            rcl                     (306.25 1068.75)      R180
C26      100n            C0402            rcl                     (568.75 393.75)       R0
C28      1n              C0402            rcl                     (956.25 631.25)       R0
C30      1n              C0402            rcl                     (956.25 825)          R180
C34      100n            C0402            rcl                     (1737.5 381.25)       R270
C36      1n              C0402            rcl                     (612.5 725)           R180
C39      220n            C0402            rcl                     (937.5 518.75)        R90
C40      220n            C0402            rcl                     (637.5 812.5)         R0
C41      1u              C0402            rcl                     (956.25 675)          R0
C42      1u              C0402            rcl                     (625 637.5)           R0
C45      33n             C0402            rcl                     (212.5 381.25)        R0
C46      10n             C0402            rcl                     (650 168.75)          R90
C47      1u              C0402            rcl                     (1293.75 1275)        R90
C49      100n            C0402            rcl                     (1081.25 787.5)       R270
C51      100n            C0402            rcl                     (981.25 481.25)       R90
C52      100n            C0402            rcl                     (468.75 318.75)       R180
C64      4u7             C0603            rcl                     (1200 993.75)         R180
C65      100n            C0402            rcl                     (200 556.25)          R180
C66      100n            C0402            rcl                     (475 1025)            R180
C67      4u7             C0603            rcl                     (1106.25 1268.75)     R270
C68      100n            C0402            rcl                     (1168.75 1268.75)     R270
C82      33n             C0402            rcl                     (112.5 493.75)        R0
C107     100n            C0402            rcl                     (68.75 768.75)        R180
D1       LM4041DIM3-1.2  DBZ_R-PDSO-G3    texas                   (75 275)              R180
D2       SS52            DO-214AC         diode                   (193.75 131.25)       R270
D3       4007            SOD-123_MINI-SMA diode                   (775 1281.25)         R0
D4       SMBJ22A         SMBJ             diode                   (337.5 131.25)        R90
D5       4007            SOD-123_MINI-SMA diode                   (775 1181.25)         R0
D6       B5819W          SOD-123_MINI-SMA diode                   (743.75 62.5)         R0
D7       4007            SOD-123_MINI-SMA diode                   (118.75 1762.5)       R0
D8       4007            SOD-123_MINI-SMA diode                   (1656.25 1762.5)      R180
IC1      ATMEGA2560-16AU TQFP100          atmel-2005              (1362.5 412.5)        R0
IC2      ATMEGA328-MU    HVQFN32          atmel                   (400 456.25)          R180
IC3      CJ125_32        TQFP32-08        cj125                   (312.5 800)           R0
IC4      FGB3056_F085    TO263            FGB3056_F085            (1518.75 1000)        MR0
IC5      MP2359          SOT23-6          MP2359                  (562.5 143.75)        R180
IC6      MAX9924         SO10             max9924                 (987.5 1012.5)        R180
IC7      ESD5V3U4RRS     SOT363_INFINEON  ESD5V3U4RRS             (1275 812.5)          R270
IC8      ESD5V3U4RRS     SOT363_INFINEON  ESD5V3U4RRS             (1168.75 812.5)       R90
IC9      CP2104          QFN24            CP2104                  (1231.25 1125)        R270
IC10     TC4424AVOA713   SO-08            mcp14e10                (1650 1025)           R0
IC11     TC4424AVOA713   SO-08            mcp14e10                (1450 1025)           R0
IC12     NUF2042XV6T1G   SOT?563          NUF2042XV6T1G           (1231.25 1287.5)      R90
IC13     MPXH6400AC6T1   MPXH6400         MPXH6400                (1525 312.5)          MR90
JMP1     0R-JUMPA        A0R-JMP          jump-0r-smd             (581.25 1150)         MR90
JMP2     0R-JUMPA        A0R-JMP          jump-0r-smd             (1437.5 1487.5)       MR150
JP1                      2X05             pinhead                 (800 600)             R270
L1       Cmi201209u2r2kt FB603            dp_devices              (1350 1262.5)         R90
L4       LQH32CN4R7M23L  R1210            LQH32CN4R7M23L          (768.75 168.75)       R0
LED1     blau            SML0603          led                     (1737.5 618.75)       R90
LED2     rot             SML0603          led                     (1650 62.5)           R90
LED3     gruen           SML0603          led                     (1500 37.5)           R0
Q1       AO3400A         SOT23            transistor-small-signal (350 1262.5)          R0
Q2       AO3400A         SOT23            transistor-small-signal (100 1212.5)          R0
Q3       AO3400A         SOT23            transistor-small-signal (125 1462.5)          R0
Q4       AO3400A         SOT23            transistor-small-signal (225 1262.5)          R0
Q5       AO3400A         SOT23            transistor-small-signal (725 1043.75)         R0
Q6       AO3400A         SOT23            transistor-small-signal (850 1043.75)         R0
Q7       AO3400A         SOT23            transistor-small-signal (600 1187.5)          R0
Q8       AO3400A         SOT23            transistor-small-signal (475 1262.5)          R0
Q9       AO3400A         SOT23            transistor-small-signal (131.25 1650)         R270
Q10      AO3400A         SOT23            transistor-small-signal (1637.5 1650)         R90
R1       1k              R0402            rcl                     (1737.5 518.75)       R270
R2       4k7             R0402            rcl                     (350 1118.75)         R0
R3       100k            R0402            rcl                     (350 1162.5)          R180
R4       1k              R0402            rcl                     (568.75 350)          R0
R5       100k            R0402            rcl                     (556.25 43.75)        R180
R6       1k              R0402            rcl                     (612.5 681.25)        R180
R7       4k7             R0402            rcl                     (31.25 1550)          R270
R8       1k              R0402            rcl                     (600 1300)            R0
R9       100k            R0402            rcl                     (1700 837.5)          R0
R10      47R(NC)         R0805            rcl                     (1625 868.75)         MR90
R11      10k             R0402            rcl                     (68.75 725)           R0
R12      10k             R0805            rcl                     (1037.5 1262.5)       R90
R13      1k              R0402            rcl                     (956.25 718.75)       R180
R14      10k             R0805            rcl                     (956.25 1262.5)       R90
R15      47R             R0805            rcl                     (1425 1262.5)         R90
R16      4k7             R0402            rcl                     (475 1118.75)         R0
R17      100k            R0402            rcl                     (475 1162.5)          R180
R18      1k              R0402            rcl                     (650 856.25)          R180
R19      10k             R0402            rcl                     (1143.75 931.25)      R180
R20      10k             R0402            rcl                     (1112.5 887.5)        R0
R21      10k(NC)         R0402            rcl                     (362.5 287.5)         R0
R22      100k            R0402            rcl                     (31.25 1643.75)       R90
R23      B72530V1140S262 CT/CN1210        varistor                (68.75 112.5)         R270
R24      47R             R0805            rcl                     (1706.25 1262.5)      R90
R25      4k7             R0402            rcl                     (1737.5 1550)         R270
R26      100k            R0402            rcl                     (1737.5 1643.75)      R270
R27      1k              R0402            rcl                     (1737.5 150)          R90
R30      1k              R0402            rcl                     (956.25 587.5)        R0
R32      1k              R0402            rcl                     (1268.75 918.75)      R90
R34      2k49            R0402            rcl                     (612.5 768.75)        R180
R35      2k49            R0402            rcl                     (956.25 781.25)       R180
R36      100k            R0402            rcl                     (1425 812.5)          R90
R37      39k             R0402            rcl                     (206.25 312.5)        R90
R38      100k            R0402            rcl                     (1500 837.5)          R0
R39      47R(NC)         R0805            rcl                     (1531.25 1262.5)      R90
R40      2k49(NC)        R0402            rcl                     (606.25 943.75)       R0
R47      10k             R0402            rcl                     (250 312.5)           R270
R48      10k             R0402            rcl                     (987.5 356.25)        R270
R49      4k7             R0402            rcl                     (112.5 1068.75)       R0
R50      100k            R0402            rcl                     (131.25 1118.75)      R180
R51      4k7             R0402            rcl                     (225 1118.75)         R0
R52      100k            R0402            rcl                     (1650 793.75)         R180
R53      1k              R0402            rcl                     (1693.75 56.25)       R90
R54      1k              R0402            rcl                     (1406.25 37.5)        R180
R55      100k            R0402            rcl                     (225 1162.5)          R180
R56      4k7             R0402            rcl                     (725 900)             R0
R57      9k53 1%         R0603            rcl                     (550 256.25)          R0
R58      49k9 1%         R0603            rcl                     (450 231.25)          R90
R59      100k            R0402            rcl                     (725 943.75)          R180
R60      4k7             R0402            rcl                     (850 900)             R0
R61      100k            R0402            rcl                     (850 943.75)          R180
R62      4k7             R0402            rcl                     (600 1043.75)         R0
R63      100k            R0402            rcl                     (600 1087.5)          R180
R69      4k7             R0402            rcl                     (1106.25 1156.25)     R270
R73      39k             R0402            rcl                     (87.5 412.5)          R0
R78      4k7             R0402            rcl                     (87.5 1337.5)         R270
R79      6k8             R0402            rcl                     (31.25 1412.5)        R270
R80      100k            R0402            rcl                     (137.5 1337.5)        R90
R102     300/1%          R0603            rcl                     (81.25 631.25)        R180
R103     61R9            R0603            rcl                     (112.5 975)           R180
R104     10k             R0402            rcl                     (68.75 843.75)        R0
R105     31k6/1%         R0603            rcl                     (81.25 550)           R0
R107     100k            R0402            rcl                     (368.75 1025)         R180
R108     100k            R0402            rcl                     (537.5 937.5)         R270
R109     4k7             R0402            rcl                     (537.5 831.25)        R270
R110     470k            R0402            rcl                     (68.75 887.5)         R180
TP1      TPTP20R         TP20R            testpad                 (1368.75 275)         MR0
TP2      TPTP20R         TP20R            testpad                 (1568.75 275)         MR0
TP3      TPTP20R         TP20R            testpad                 (1468.75 275)         MR0
U$4      X322516MLB4SI   X322516MLB4SI    X322516MLB4SI           (593.75 493.75)       R270
U$7      34P             34P              34p                     (885.82677 1771.65354) R180
U$8      X322516MLB4SI   X322516MLB4SI    X322516MLB4SI           (937.5 137.5)         R270
