Part     Value            Package          Library                 Position (mil)        Orientation

C1       1n               C0402            rcl                     (1737.5 193.75)       R90
C2       18p              C0402            rcl                     (631.25 687.5)        R180
C3       18p              C0402            rcl                     (631.25 487.5)        R0
C4       22u              C0805            rcl                     (831.25 168.75)       R90
C5       220n             C0402            rcl                     (1737.5 381.25)       R270
C6       22u              C0805            rcl                     (456.25 87.5)         R90
C7       1n               C0402            rcl                     (1225 1056.25)        R90
C8       2n2              C0402            rcl                     (206.25 1162.5)       R0
C9       100n             C0402            rcl                     (106.25 606.25)       R0
C10      1u               C0402            rcl                     (631.25 356.25)       R0
C11      220n             C0402            rcl                     (1312.5 1056.25)      R270
C12      100n             C0402            rcl                     (962.5 1231.25)       R180
C13      100n             C0402            rcl                     (1512.5 931.25)       R0
C14      1n               C0402            rcl                     (1025 1306.25)        R0
C15      1n               C0402            rcl                     (606.25 1037.5)       R0
C16      100n             C0402            rcl                     (537.5 843.75)        R270
C17      10u              C0805            rcl                     (1625 1400)           R270
C18      100n             C0402            rcl                     (106.25 518.75)       R180
C19      4u7              C0805            rcl                     (987.5 1175)          R180
C20      18p              C0402            rcl                     (1056.25 181.25)      R180
C22      100n             C0402            rcl                     (1231.25 175)         R180
C23      18p              C0402            rcl                     (956.25 331.25)       R180
C25      100n             C0402            rcl                     (306.25 1206.25)      R180
C26      100n             C0402            rcl                     (631.25 443.75)       R0
C28      1n               C0402            rcl                     (956.25 768.75)       R0
C29      100n             C0402            rcl                     (68.75 893.75)        R0
C30      1n               C0402            rcl                     (956.25 962.5)        R180
C34      100n             C0402            rcl                     (1737.5 518.75)       R270
C36      1n               C0402            rcl                     (612.5 862.5)         R180
C39      220n             C0402            rcl                     (937.5 656.25)        R90
C40      220n             C0402            rcl                     (637.5 950)           R0
C41      1u               C0402            rcl                     (956.25 812.5)        R0
C42      1u               C0402            rcl                     (625 775)             R0
C45      33n              C0402            rcl                     (106.25 475)          R0
C46      22n              C0402            rcl                     (650 168.75)          R90
C47      1u               C0402            rcl                     (1300 1412.5)         R90
C49      100n             C0402            rcl                     (1081.25 925)         R270
C51      100n             C0402            rcl                     (981.25 618.75)       R90
C52      100n             C0402            rcl                     (1381.25 950)         R270
C65      100n             C0402            rcl                     (81.25 650)           R180
C66      100n             C0402            rcl                     (475 1162.5)          R180
C67      4u7              C0603            rcl                     (1106.25 1406.25)     R270
C68      100n             C0402            rcl                     (1156.25 1406.25)     R270
C82      33n              C0402            rcl                     (106.25 562.5)        R0
C107     100n             C0402            rcl                     (68.75 937.5)         R180
D1       LM4041DIM3-1.2   DBZ_R-PDSO-G3    texas                   (87.5 287.5)          R180
D2       SS54             DO-214AC         diode                   (193.75 131.25)       R270
D3       SM4007PL         SOD-123_MINI-SMA diode                   (775 1418.75)         R0
D4       SMBJ22A          SMBJ             diode                   (337.5 131.25)        R90
D5       SM4007PL         SOD-123_MINI-SMA diode                   (775 1318.75)         R0
D6       B5819W           SOD-123_MINI-SMA diode                   (743.75 56.25)        R0
D7       SM4007PL         SOD-123_MINI-SMA diode                   (118.75 1900)         R0
D8       SM4007PL         SOD-123_MINI-SMA diode                   (1656.25 1900)        R180
IC1      ATMEGA2560-16AU  TQFP100          atmel-2005              (1362.5 550)          R0
