Part     Value            Device          Package          Library                 Sheet

C1       1n               C-EUC0402       C0402            rcl                     1
C2       18p              C-EUC0402       C0402            rcl                     1
C3       18p              C-EUC0402       C0402            rcl                     1
C4       22u              C-EUC0805       C0805            rcl                     1
C5       220n             C-EUC0402       C0402            rcl                     1
C6       22u              C-EUC0805       C0805            rcl                     1
C7       1n               C-EUC0402       C0402            rcl                     1
C8       2n2              C-EUC0402       C0402            rcl                     1
C9       100n             C-EUC0402       C0402            rcl                     1
C10      1u               C-EUC0402       C0402            rcl                     1
C11      220n             C-EUC0402       C0402            rcl                     1
C12      22n              C-EUC0402       C0402            rcl                     1
C13      100n             C-EUC0402       C0402            rcl                     1
C14      22n              C-EUC0402       C0402            rcl                     1
C15      1n               C-EUC0402       C0402            rcl                     1
C16      100n             C-EUC0402       C0402            rcl                     1
C17      10u              C-EUC0805       C0805            rcl                     1
C18      100n             C-EUC0402       C0402            rcl                     1
C19      4u7              C-EUC0603       C0603            rcl                     1
C20      18p              C-EUC0402       C0402            rcl                     1
C22      100n             C-EUC0402       C0402            rcl                     1
C23      18p              C-EUC0402       C0402            rcl                     1
C25      100n             C-EUC0402       C0402            rcl                     1
C26      100n             C-EUC0402       C0402            rcl                     1
C28      1n               C-EUC0402       C0402            rcl                     1
C29      18p              C-EUC0402       C0402            rcl                     1
C30      1n               C-EUC0402       C0402            rcl                     1
C34      100n             C-EUC0402       C0402            rcl                     1
C36      1n               C-EUC0402       C0402            rcl                     1
C39      220n             C-EUC0402       C0402            rcl                     1
C40      220n             C-EUC0402       C0402            rcl                     1
C41      1u               C-EUC0402       C0402            rcl                     1
C42      1u               C-EUC0402       C0402            rcl                     1
C45      33n              C-EUC0402       C0402            rcl                     1
C46      22n              C-EUC0402       C0402            rcl                     1
C47      1u               C-EUC0402       C0402            rcl                     1
C49      100n             C-EUC0402       C0402            rcl                     1
C51      100n             C-EUC0402       C0402            rcl                     1
C52      100n             C-EUC0402       C0402            rcl                     1
C65      100n             C-EUC0402       C0402            rcl                     1
C66      100n             C-EUC0402       C0402            rcl                     1
C67      4u7              C-EUC0603       C0603            rcl                     1
C68      100n             C-EUC0402       C0402            rcl                     1
C82      33n              C-EUC0402       C0402            rcl                     1
C107     100n             C-EUC0402       C0402            rcl                     1
D1       LM4041DIM3-1.2   LM4041A12DBZ    DBZ_R-PDSO-G3    texas                   1
D2       SS54             DIODE-DO-214AC  DO-214AC         diode                   1
D3       SM4007PL         CGRM4001-G      SOD-123_MINI-SMA diode                   1
D4       SMBJ22A          SUPPRESSOR-SMBJ SMBJ             diode                   1
D5       SM4007PL         CGRM4001-G      SOD-123_MINI-SMA diode                   1
D6       B5819W           CGRM4001-G      SOD-123_MINI-SMA diode                   1
D7       SM4007PL         CGRM4001-G      SOD-123_MINI-SMA diode                   1
D8       SM4007PL         CGRM4001-G      SOD-123_MINI-SMA diode                   1
IC1      ATMEGA2560-16AU  ATMEGA2560-16AU TQFP100          atmel-2005              1
IC2      NUF2221W1        NUF2221W1       SOT363_PHILIPS   NUF2221W1               1
IC3      CJ125_32         CJ125_32        TQFP32-08        cj125                   1
IC4      FGB3056_F085(NC) FGB3056_F085    TO263            FGB3056_F085            1
IC5      MP2359           MP2359          SOT23-6          MP2359                  1
IC7      ESD0504F         PRTR5V0U4Y      SOT363_PHILIPS   PRTR5V0U4Y              1
IC8      ESD0504F         PRTR5V0U4Y      SOT363_PHILIPS   PRTR5V0U4Y              1
IC9      CP2102           CP2102          MLP28            silabs                  1
IC10     TC4424AVOA713    MCP14E10        SO-08            mcp14e10                1
IC11     TC4424AVOA713    MCP14E10        SO-08            mcp14e10                1
IC13     MPXH6400AC6T1    MPXH6400        MPXH6400         MPXH6400                1
IC14     ATMEGA328P-AU    MEGA8-AI        TQFP32-08        atmel                   1
JP1                       PINHD-2X7       2X07             pinhead                 1
JP3                       PINHD-2X4       2X04             pinhead                 1
L1       Cmi201209u2r2kt  FERRITE_BEAD603 FB603            dp_devices              1
L4       LQH32CN4R7M23L   LQH32CN4R7M23L  R1210            LQH32CN4R7M23L          1
LED1     blau             LEDSML0603      SML0603          led                     1
LED2     rot              LEDSML0603      SML0603          led                     1
LED3     gruen            LEDSML0603      SML0603          led                     1
Q1       AO3400A          BSS123          SOT23            transistor-small-signal 1
Q2       AO3400A          BSS123          SOT23            transistor-small-signal 1
Q3       AO3400A          BSS123          SOT23            transistor-small-signal 1
Q4       AO3400A          BSS123          SOT23            transistor-small-signal 1
Q5       AO3400A          BSS123          SOT23            transistor-small-signal 1
Q6       AO3400A          BSS123          SOT23            transistor-small-signal 1
Q7       AO3400A          BSS123          SOT23            transistor-small-signal 1
Q8       AO3400A          BSS123          SOT23            transistor-small-signal 1
Q9       AO3400A          BSS123          SOT23            transistor-small-signal 1
Q10      AO3400A          BSS123          SOT23            transistor-small-signal 1
R1       1k               R-EU_R0402      R0402            rcl                     1
R2       4k7              R-EU_R0402      R0402            rcl                     1
R3       100k             R-EU_R0402      R0402            rcl                     1
R4       1k               R-EU_R0402      R0402            rcl                     1
R5       100k             R-EU_R0402      R0402            rcl                     1
R6       1k               R-EU_R0402      R0402            rcl                     1
